"DateTime","Last Month","This Month"
"2020-01-13 12:00:00",0.63,0.87
"2020-01-13 13:00:00",0.7,0.54
"2020-01-13 14:00:00",0.62,0.53
"2020-01-13 15:00:00",0.6,0.62
"2020-01-13 16:00:00",0.71,0.97
"2020-01-13 17:00:00",0.76,0.83
"2020-01-13 18:00:00",0.66,0.8
"2020-01-13 19:00:00",1.23,0.88
"2020-01-13 20:00:00",0.83,0.73
"2020-01-13 21:00:00",1.03,2.22
"2020-01-13 22:00:00",1.07,0.87
"2020-01-13 23:00:00",0.76,0.63
"2020-01-14 00:00:00",0.79,0.51
"2020-01-14 01:00:00",0.78,0.5
"2020-01-14 02:00:00",0.69,0.57
"2020-01-14 03:00:00",0.56,0.6
"2020-01-14 04:00:00",0.52,0.51
"2020-01-14 05:00:00",0.59,0.49
"2020-01-14 06:00:00",0.63,0.65
"2020-01-14 07:00:00",1.07,0.73
"2020-01-14 08:00:00",0.68,0.56
"2020-01-14 09:00:00",0.82,0.52
"2020-01-14 10:00:00",0.86,0.74
"2020-01-14 11:00:00",0.71,0.62
"2020-01-14 12:00:00",0.64,0.51
"2020-01-14 13:00:00",0.66,0.53
"2020-01-14 14:00:00",1.39,0.63
"2020-01-14 15:00:00",0.87,0.58
"2020-01-14 16:00:00",1.01,0.46
"2020-01-14 17:00:00",0.81,0.61
"2020-01-14 18:00:00",0.92,0.76
"2020-01-14 19:00:00",1.28,0.83
"2020-01-14 20:00:00",1.49,0.66
"2020-01-14 21:00:00",3.88,0.64
"2020-01-14 22:00:00",0.91,0.54
"2020-01-14 23:00:00",1.81,0.53
"2020-01-15 00:00:00",0.68,0.62
"2020-01-15 01:00:00",0.73,0.62
"2020-01-15 02:00:00",0.78,0.53
"2020-01-15 03:00:00",0.66,0.53
"2020-01-15 04:00:00",0.65,0.63
"2020-01-15 05:00:00",0.77,0.63
"2020-01-15 06:00:00",0.71,0.52
"2020-01-15 07:00:00",0.74,0.59
"2020-01-15 08:00:00",0.72,0.74
"2020-01-15 09:00:00",0.77,0.63
"2020-01-15 10:00:00",0.63,0.51
"2020-01-15 11:00:00",0.97,0.51
"2020-01-15 12:00:00",1.49,0.61
"2020-01-15 13:00:00",4.55,0.61
"2020-01-15 14:00:00",3.27,0.52
"2020-01-15 15:00:00",2.84,0.51
"2020-01-15 16:00:00",2.02,1.25
"2020-01-15 17:00:00",3.37,1.35
"2020-01-15 18:00:00",4.64,0.81
"2020-01-15 19:00:00",3.69,0.69
"2020-01-15 20:00:00",2.61,0.62
"2020-01-15 21:00:00",1.4,2.4
"2020-01-15 22:00:00",2.36,0.65
"2020-01-15 23:00:00",1.74,3.3
"2020-01-16 00:00:00",1.66,0.67
"2020-01-16 01:00:00",0.57,0.59
"2020-01-16 02:00:00",0.66,0.53
"2020-01-16 03:00:00",0.7,0.55
"2020-01-16 04:00:00",0.59,0.65
"2020-01-16 05:00:00",0.61,0.56
"2020-01-16 06:00:00",2.21,0.51
"2020-01-16 07:00:00",0.71,0.49
"2020-01-16 08:00:00",0.6,0.56
"2020-01-16 09:00:00",0.58,0.66
"2020-01-16 10:00:00",0.82,0.57
"2020-01-16 11:00:00",1.2,0.57
"2020-01-16 12:00:00",0.95,0.69
"2020-01-16 13:00:00",0.64,0.66
"2020-01-16 14:00:00",0.63,0.69
"2020-01-16 15:00:00",0.83,0.63
"2020-01-16 16:00:00",1.04,2.47
"2020-01-16 17:00:00",1.07,0.68
"2020-01-16 18:00:00",0.93,0.69
"2020-01-16 19:00:00",0.6,0.99
"2020-01-16 20:00:00",0.72,2.34
"2020-01-16 21:00:00",1.06,2.67
"2020-01-16 22:00:00",1.25,2.14
"2020-01-16 23:00:00",3.26,0.64
"2020-01-17 00:00:00",0.82,0.56
"2020-01-17 01:00:00",0.58,0.52
"2020-01-17 02:00:00",0.58,0.56
"2020-01-17 03:00:00",0.66,0.63
"2020-01-17 04:00:00",0.66,0.57
"2020-01-17 05:00:00",0.84,0.51
"2020-01-17 06:00:00",1.35,0.63
"2020-01-17 07:00:00",0.81,0.68
"2020-01-17 08:00:00",1.87,0.65
"2020-01-17 09:00:00",1.46,0.6
"2020-01-17 10:00:00",1.03,0.99
"2020-01-17 11:00:00",0.89,0.73
"2020-01-17 12:00:00",1.46,0.67
"2020-01-17 13:00:00",0.66,0.58
"2020-01-17 14:00:00",0.72,0.55
"2020-01-17 15:00:00",0.71,0.63
"2020-01-17 16:00:00",1.31,0.72
"2020-01-17 17:00:00",1.68,0.62
"2020-01-17 18:00:00",1.12,0.58
"2020-01-17 19:00:00",1.58,0.62
"2020-01-17 20:00:00",0.86,0.64
"2020-01-17 21:00:00",0.8,3.53
"2020-01-17 22:00:00",1.42,1.92
"2020-01-17 23:00:00",1.44,0.66
"2020-01-18 00:00:00",0.67,0.55
"2020-01-18 01:00:00",0.62,0.59
"2020-01-18 02:00:00",1.55,0.66
"2020-01-18 03:00:00",0.73,0.59
"2020-01-18 04:00:00",0.88,0.53
"2020-01-18 05:00:00",1.07,0.55
"2020-01-18 06:00:00",0.95,0.68
"2020-01-18 07:00:00",0.82,0.57
"2020-01-18 08:00:00",0.78,0.46
"2020-01-18 09:00:00",0.63,0.59
"2020-01-18 10:00:00",0.76,0.65
"2020-01-18 11:00:00",0.65,0.81
"2020-01-18 12:00:00",1.26,0.86
"2020-01-18 13:00:00",1.97,1.67
"2020-01-18 14:00:00",4.31,3.14
"2020-01-18 15:00:00",3.05,0.88
"2020-01-18 16:00:00",1.61,3.52
"2020-01-18 17:00:00",1.26,1.46
"2020-01-18 18:00:00",1.48,3.14
"2020-01-18 19:00:00",1.47,2.08
"2020-01-18 20:00:00",1.49,1.36
"2020-01-18 21:00:00",1.2,1.17
"2020-01-18 22:00:00",1.41,0.73
"2020-01-18 23:00:00",1.04,0.63
"2020-01-19 00:00:00",1.3,0.56
"2020-01-19 01:00:00",0.69,0.65
"2020-01-19 02:00:00",0.69,0.6
"2020-01-19 03:00:00",0.72,0.65
"2020-01-19 04:00:00",0.77,0.59
"2020-01-19 05:00:00",1.05,0.65
"2020-01-19 06:00:00",1.11,0.55
"2020-01-19 07:00:00",1.07,0.57
"2020-01-19 08:00:00",1.8,0.73
"2020-01-19 09:00:00",1.54,1.5
"2020-01-19 10:00:00",1.49,1.5
"2020-01-19 11:00:00",1.22,0.8
"2020-01-19 12:00:00",0.76,1.49
"2020-01-19 13:00:00",0.56,1.61
"2020-01-19 14:00:00",0.88,1.49
"2020-01-19 15:00:00",0.94,1.25
"2020-01-19 16:00:00",2.22,1.26
"2020-01-19 17:00:00",1.23,1.17
"2020-01-19 18:00:00",1.28,1.3
"2020-01-19 19:00:00",1.02,1.28
"2020-01-19 20:00:00",1.06,1.26
"2020-01-19 21:00:00",1.31,2.03
"2020-01-19 22:00:00",1.18,1.34
"2020-01-19 23:00:00",0.79,0.73
"2020-01-20 00:00:00",0.76,0.6
"2020-01-20 01:00:00",0.72,0.63
"2020-01-20 02:00:00",0.62,0.79
"2020-01-20 03:00:00",0.6,0.61
"2020-01-20 04:00:00",0.69,0.61
"2020-01-20 05:00:00",0.74,1.1
"2020-01-20 06:00:00",0.7,1.55
"2020-01-20 07:00:00",1.38,2.74
"2020-01-20 08:00:00",1.54,2.2
"2020-01-20 09:00:00",1.27,1.9
"2020-01-20 10:00:00",1.09,1.18
"2020-01-20 11:00:00",0.55,0.89
"2020-01-20 12:00:00",0.63,1.22
"2020-01-20 13:00:00",1.84,0.95
"2020-01-20 14:00:00",1.35,1.03
"2020-01-20 15:00:00",1.43,0.91
"2020-01-20 16:00:00",1.16,0.95
"2020-01-20 17:00:00",0.59,1.04
"2020-01-20 18:00:00",1.3,1.69
"2020-01-20 19:00:00",1.2,1.39
"2020-01-20 20:00:00",1.71,1.68
