"DateTime","Last Month","This Month"
"2020-02-11 18:00:00",2.72,0.69
"2020-02-11 19:00:00",0.86,1.54
"2020-02-11 20:00:00",1.94,1.77
"2020-02-11 21:00:00",3.35,0.78
"2020-02-11 22:00:00",1.18,0.67
"2020-02-11 23:00:00",0.54,0.67
"2020-02-12 00:00:00",0.49,0.57
"2020-02-12 01:00:00",0.51,0.56
"2020-02-12 02:00:00",0.6,0.63
"2020-02-12 03:00:00",0.49,0.57
"2020-02-12 04:00:00",0.48,0.53
"2020-02-12 05:00:00",0.56,0.99
"2020-02-12 06:00:00",0.52,0.66
"2020-02-12 07:00:00",0.54,0.49
"2020-02-12 08:00:00",0.84,0.82
"2020-02-12 09:00:00",0.66,0.51
"2020-02-12 10:00:00",0.61,0.61
"2020-02-12 11:00:00",0.61,0.53
"2020-02-12 12:00:00",0.68,0.55
"2020-02-12 13:00:00",0.58,0.45
"2020-02-12 14:00:00",0.68,0.43
"2020-02-12 15:00:00",0.66,0.51
"2020-02-12 16:00:00",0.65,0.53
"2020-02-12 17:00:00",0.72,0.43
"2020-02-12 18:00:00",0.79,1.1
"2020-02-12 19:00:00",1.03,1.68
"2020-02-12 20:00:00",0.71,0.61
"2020-02-12 21:00:00",0.65,0.6
"2020-02-12 22:00:00",0.68,1.22
"2020-02-12 23:00:00",4.41,0.6
"2020-02-13 00:00:00",1.01,1.15
"2020-02-13 01:00:00",0.55,1.71
"2020-02-13 02:00:00",0.5,0.55
"2020-02-13 03:00:00",0.51,0.61
"2020-02-13 04:00:00",0.6,0.49
"2020-02-13 05:00:00",0.49,1.14
"2020-02-13 06:00:00",0.53,0.99
"2020-02-13 07:00:00",0.69,0.59
"2020-02-13 08:00:00",0.53,1.05
"2020-02-13 09:00:00",0.49,0.49
"2020-02-13 10:00:00",0.19,0.55
"2020-02-13 11:00:00",0.62,0.44
"2020-02-13 12:00:00",0.87,0.43
"2020-02-13 13:00:00",0.54,0.55
"2020-02-13 14:00:00",0.53,0.57
"2020-02-13 15:00:00",0.62,0.54
"2020-02-13 16:00:00",0.97,1.02
"2020-02-13 17:00:00",0.83,1.61
"2020-02-13 18:00:00",0.8,1.67
"2020-02-13 19:00:00",0.88,1.25
"2020-02-13 20:00:00",0.73,0.77
"2020-02-13 21:00:00",2.22,0.75
"2020-02-13 22:00:00",0.87,0.65
"2020-02-13 23:00:00",0.63,0.68
"2020-02-14 00:00:00",0.51,0.57
"2020-02-14 01:00:00",0.5,0.55
"2020-02-14 02:00:00",0.57,0.61
"2020-02-14 03:00:00",0.6,0.6
"2020-02-14 04:00:00",0.51,0.55
"2020-02-14 05:00:00",0.49,2.76
"2020-02-14 06:00:00",0.65,6.41
"2020-02-14 07:00:00",0.73,0.68
"2020-02-14 08:00:00",0.56,1.19
"2020-02-14 09:00:00",0.52,1.01
"2020-02-14 10:00:00",0.74,1.41
"2020-02-14 11:00:00",0.62,0.62
"2020-02-14 12:00:00",0.51,0.52
"2020-02-14 13:00:00",0.53,0.57
"2020-02-14 14:00:00",0.63,0.64
"2020-02-14 15:00:00",0.58,1.06
"2020-02-14 16:00:00",0.46,1.62
"2020-02-14 17:00:00",0.61,0.83
"2020-02-14 18:00:00",0.76,0.87
"2020-02-14 19:00:00",0.83,0.97
"2020-02-14 20:00:00",0.66,1.16
"2020-02-14 21:00:00",0.64,1.16
"2020-02-14 22:00:00",0.54,1.35
"2020-02-14 23:00:00",0.53,0.82
"2020-02-15 00:00:00",0.62,0.8
"2020-02-15 01:00:00",0.62,0.67
"2020-02-15 02:00:00",0.53,0.72
"2020-02-15 03:00:00",0.53,0.6
"2020-02-15 04:00:00",0.63,0.69
"2020-02-15 05:00:00",0.63,0.62
"2020-02-15 06:00:00",0.52,0.66
"2020-02-15 07:00:00",0.59,1.75
"2020-02-15 08:00:00",0.74,2.1
"2020-02-15 09:00:00",0.63,0.96
"2020-02-15 10:00:00",0.51,0.82
"2020-02-15 11:00:00",0.51,1.19
"2020-02-15 12:00:00",0.61,1.36
"2020-02-15 13:00:00",0.61,0.59
"2020-02-15 14:00:00",0.52,0.61
"2020-02-15 15:00:00",0.51,0.56
"2020-02-15 16:00:00",1.25,0.72
"2020-02-15 17:00:00",1.35,1.56
"2020-02-15 18:00:00",0.81,1.32
"2020-02-15 19:00:00",0.69,1.03
"2020-02-15 20:00:00",0.62,0.92
"2020-02-15 21:00:00",2.4,1.22
"2020-02-15 22:00:00",0.65,2.88
"2020-02-15 23:00:00",3.3,2.27
"2020-02-16 00:00:00",0.67,0.75
"2020-02-16 01:00:00",0.59,0.71
"2020-02-16 02:00:00",0.53,0.72
"2020-02-16 03:00:00",0.55,0.72
"2020-02-16 04:00:00",0.65,0.79
"2020-02-16 05:00:00",0.56,0.68
"2020-02-16 06:00:00",0.51,0.72
"2020-02-16 07:00:00",0.49,0.8
"2020-02-16 08:00:00",0.56,1.2
"2020-02-16 09:00:00",0.66,1.05
"2020-02-16 10:00:00",0.57,0.76
"2020-02-16 11:00:00",0.57,0.65
"2020-02-16 12:00:00",0.69,0.61
"2020-02-16 13:00:00",0.66,1.37
"2020-02-16 14:00:00",0.69,3.69
"2020-02-16 15:00:00",0.63,1.4
"2020-02-16 16:00:00",2.47,1.21
"2020-02-16 17:00:00",0.68,1.82
"2020-02-16 18:00:00",0.69,2.44
"2020-02-16 19:00:00",0.99,1.76
"2020-02-16 20:00:00",2.34,0.87
"2020-02-16 21:00:00",2.67,0.99
"2020-02-16 22:00:00",2.14,0.77
"2020-02-16 23:00:00",0.64,0.69
"2020-02-17 00:00:00",0.56,0.76
"2020-02-17 01:00:00",0.52,0.75
"2020-02-17 02:00:00",0.56,0.72
"2020-02-17 03:00:00",0.63,0.7
"2020-02-17 04:00:00",0.57,0.69
"2020-02-17 05:00:00",0.51,0.59
"2020-02-17 06:00:00",0.63,0.59
"2020-02-17 07:00:00",0.68,0.78
"2020-02-17 08:00:00",0.65,0.97
"2020-02-17 09:00:00",0.6,0.71
"2020-02-17 10:00:00",0.99,0.6
"2020-02-17 11:00:00",0.73,0.71
"2020-02-17 12:00:00",0.67,0.82
"2020-02-17 13:00:00",0.58,0.72
"2020-02-17 14:00:00",0.55,0.67
"2020-02-17 15:00:00",0.63,0.68
"2020-02-17 16:00:00",0.72,0.78
"2020-02-17 17:00:00",0.62,1.04
"2020-02-17 18:00:00",0.58,1.8
"2020-02-17 19:00:00",0.62,3.81
"2020-02-17 20:00:00",0.64,1.84
"2020-02-17 21:00:00",3.53,0.65
"2020-02-17 22:00:00",1.92,0.67
"2020-02-17 23:00:00",0.66,0.64
"2020-02-18 00:00:00",0.55,0.64
"2020-02-18 01:00:00",0.59,0.61
"2020-02-18 02:00:00",0.66,0.51
"2020-02-18 03:00:00",0.59,0.5
"2020-02-18 04:00:00",0.53,0.6
"2020-02-18 05:00:00",0.55,0.64
"2020-02-18 06:00:00",0.68,0.64
"2020-02-18 07:00:00",0.57,0.72
"2020-02-18 08:00:00",0.46,0.68
"2020-02-18 09:00:00",0.59,0.68
"2020-02-18 10:00:00",0.65,0.59
"2020-02-18 11:00:00",0.81,0.55
"2020-02-18 12:00:00",0.86,0.6
"2020-02-18 13:00:00",1.67,0.68
"2020-02-18 14:00:00",3.14,0.6
"2020-02-18 15:00:00",0.88,0.64
"2020-02-18 16:00:00",3.52,0.6
"2020-02-18 17:00:00",1.46,0.76
"2020-02-18 18:00:00",3.14,0.87
"2020-02-18 19:00:00",2.08,0.66
"2020-02-18 20:00:00",1.36,0.59
"2020-02-18 21:00:00",1.17,0.84
"2020-02-18 22:00:00",0.73,2.73
"2020-02-18 23:00:00",0.63,2.26
"2020-02-19 00:00:00",0.56,0.62
"2020-02-19 01:00:00",0.65,0.65
"2020-02-19 02:00:00",0.6,0.56
"2020-02-19 03:00:00",0.65,0.63
"2020-02-19 04:00:00",0.59,0.6
"2020-02-19 05:00:00",0.65,0.61
"2020-02-19 06:00:00",0.55,0.93
"2020-02-19 07:00:00",0.57,0.6
"2020-02-19 08:00:00",0.73,0.51
"2020-02-19 09:00:00",1.5,0.44
"2020-02-19 10:00:00",1.5,0.46
"2020-02-19 11:00:00",0.8,0.56
"2020-02-19 12:00:00",1.49,0.49
"2020-02-19 13:00:00",1.61,0.44
"2020-02-19 14:00:00",1.49,0.49
"2020-02-19 15:00:00",1.25,0.56
"2020-02-19 16:00:00",1.26,0.47
"2020-02-19 17:00:00",1.17,0.45
